tic,label,true_period,sector,n_cycles,timing_unc_d,depth,duration_hr,snr,known_b,known_ecc,bls27,bls27_sde,bls27_edge,bls200,bls200_sde,analytic,scalars,synth full,inj full,inj scalars
172370679,TOI-1899,29.09,15,,,0.036081386329941845,3.9903843088141002,34.481492756395845,,,11.284190349195766,1.9864185524484355,False,11.273897824818734,nan,27.10804886814015,75.87864685058594,129.3911590576172,255.7030029296875,72.435546875
65910228,NGTS-38 b,180.52797,33,,,0.0034651228240029086,11.474001562528429,42.59114107477064,0.8536,0.3086,18.488374031169265,1.2015808976697169,False,18.489749145762143,nan,55.510580982605084,150.7974853515625,228.56300354003906,206.4300079345703,128.0210723876953
349576261,TOI-4562 b,225.1064,34,1,0.0005316013544000806,0.009447607596354768,3.0143651286925888,2.894033823333292,0.6,0.76,3.7310609217434787,4.926479348013994,False,3.725518793232769,nan,3.550248229797709,14.763500213623047,106.20623016357422,216.7959747314453,12.599705696105957
141488193,TOI-4127 b,56.3987,53,0,0.0008,0.010075493589689066,2.8684788535611005,15.756065335420342,0.15,0.7484,21.18055671305942,2.1382319504848497,False,21.18322360196683,nan,2.213764313188268,11.532456398010254,11.986846923828125,11.86786937713623,9.82858943939209
239977528,TOI-5110 b,30.158577,71,25,0.0025942243542145696,0.002732616716650371,4.4254639755199605,7.82880934731643,0.43,0.745,17.01750145845487,2.059340128558939,False,17.02662721893491,nan,1.564977703743605,14.51702880859375,9.14306640625,9.833447456359863,15.128732681274414
300038935,HD 56414 b,29.04992,2,1,0.0050044080569034335,0.0007857572966516457,4.828983483390402,4.243064763550854,0.34,0.68,23.336069672472707,3.0679214618697825,False,23.344653721143427,nan,6.602175144987965,31.723783493041992,25.84757423400879,42.2750358581543,36.3293342590332
75878355,TOI-2134 c,95.5,52,0,0.0002,0.01008318841422473,4.26512638346685,181.96305754213077,0.464,0.67,12.105758813234436,2.142120349051297,False,12.121843486957244,nan,27.092389671899664,97.98332214355469,59.20032501220703,41.77127456665039,101.3839111328125
350618622,TOI-201 c,2890.0,64,0,0.02,0.006571158417163936,11.125546572606254,21.263212670833727,0.44,0.651,14.444578714892907,2.0058369329089234,False,21.698641553462785,nan,135.2729072556606,250.81968688964844,363.7657165527344,379.660400390625,254.50936889648438
357312511,TOI-3457 b,32.600268,65,17,0.000676,0.0054212557119318605,4.238839438348805,9.204737505065198,0.291,0.59,16.745853821151762,0.8962388127744245,False,16.760605050420867,nan,4.099666971220037,17.09333610534668,10.677781105041504,9.222675323486328,18.084444046020508
48018596,TOI-2295 b,30.033302,26,10,0.0027943514453268046,0.001471849525542912,3.2934219751059572,5.931706732429972,1.056,0.334,21.39919993332778,2.020614985722056,False,21.39936661388449,nan,2.2048631601838564,15.26745319366455,15.478227615356445,18.944835662841797,15.500349044799805
287080092,TOI-1751 b,37.46852,17,1,0.0020042205467462903,0.0009443849415492478,4.833385963996989,7.829321245431213,0.389551,0.327,15.723310275856322,0.6831891108918059,False,15.729769147428952,nan,7.791795055778702,34.5835075378418,21.432722091674805,17.75046157836914,43.26418685913086
322807371,NGTS-30 b,98.29838,90,15,0.0019849433241279205,0.011818000314260835,3.973980282949924,18.74486816511629,0.777,0.294,15.012167680640054,0.7321053372272381,False,15.01483456954746,nan,12.958139134262412,51.14394760131836,51.81639099121094,25.64929962158203,56.9726448059082
341630071,TOI-2147 b,26.20518,40,1,0.0006007495318350235,0.005847420681073023,4.537734142955742,13.093477111102086,0.33,0.29,25.195641303441953,4.006460490993371,False,25.206808900741727,nan,5.7312029291973765,22.68743324279785,10.920795440673828,15.717034339904785,23.01450538635254
232608943,TOI-4600 b,82.6869,53,0,0.002,0.010519883641542327,5.914985847019125,12.368352566437744,0.39,0.25,17.58288190682557,1.019135995518232,False,17.59192432702725,nan,57.97870447890591,157.5023651123047,229.13865661621094,122.59428405761719,146.01292419433594
307958020,TOI-4633 c,271.9445,20,0,0.0088,0.0007673140836901293,8.9588091414862,7.323708121188463,0.33,0.117,22.42174347862322,2.4860889718267445,False,22.430202516876403,nan,114.30496856408178,183.4945831298828,180.8961639404297,180.01437377929688,210.55264282226562
306472057,TOI-791 c,232.0157,67,3,0.002508007177023224,0.007054097075556265,10.239655417703034,18.9389256905198,0.671,0.028,8.901200100008333,2.517397437854988,False,17.80806733894491,nan,71.78085091027086,173.48268127441406,139.0465087890625,147.95057678222656,159.85984802246094
309792357,TOI-199 b,104.854,2,1,0.00116619037896906,0.011724708178271648,5.115059619096428,38.31901072420783,0.45,0.09,20.5864655387949,1.9240695267170353,False,20.60130010834236,nan,38.00397233904201,120.38836669921875,101.18624114990234,43.84839630126953,114.6773910522461
179582003,TOI-4507 b,104.61611,8,1,0.0008022468448052631,0.00464510649843064,8.248200920341333,24.161826247012726,0.12,0.09,11.818651554296192,1.6510074189300739,False,11.822568547378948,nan,92.63671001968339,208.8817596435547,143.289306640625,134.52308654785156,212.64599609375
150151262,TOI-712 d,84.8396,9,1,0.0019480503073586164,0.0007098623752629374,0.8583717172641627,2.3349951935661615,0.34,0.073,12.081465122093508,3.0407375131235814,False,12.08859071589299,nan,0.22232276621309074,0.8554750680923462,3.0678040981292725,29.58927345275879,20.099790573120117
29781292,HD 28109 d,84.2899,5,1,0.007712976079309464,0.0007375708711084838,4.111245406476883,4.9533524131899584,0.25,0.0054,9.23247770647554,0.9050734325104706,False,9.22885240436703,nan,4.900117257336865,25.144744873046875,20.265039443969727,27.98529815673828,28.24078941345215
55525572,TOI-813 b,83.8911,5,1,0.007689603370785778,0.0015760278082826984,11.608877883007153,10.547392008046902,0.3,0.0,16.542670222518545,0.9472117895910177,False,16.54446203850321,nan,47.29624008836531,142.17787170410156,110.21612548828125,51.16257858276367,116.6174087524414
261257684,TOI-904 c,83.9997,61,7,0.005161395160225576,0.003275506895766167,3.4541618165094405,9.684138995258143,0.373,,13.229894157846488,nan,False,9.444995416284689,nan,26.236061121612273,91.6550064086914,30.24239730834961,45.99256896972656,78.07120513916016
167342439,TOI-707 b,52.79918,38,1,0.0016137224048763778,0.0021400051531592634,2.0122319080037414,5.131261208095855,0.421,,14.930452537711476,0.6744907594765952,False,14.931702641886822,nan,1.417791487812025,6.697460174560547,5.127871036529541,7.569040775299072,14.337679862976074
100990000,HD 22946 d,47.42489,4,15,0.001734041521994211,0.00047269400535154826,5.3586519350592425,6.682428029926463,0.456,,14.365072089340778,0.6744907594765952,False,14.366405533794481,nan,20.270358801082434,74.14799499511719,67.18428039550781,68.6247787475586,73.63319396972656
332657786,TOI-6478 b,34.005019,62,16,0.0007889233169326408,0.041464090331627346,2.5516192457580473,12.223395503288405,0.186,,15.226393866155513,0.7115476587869091,False,15.23097758146512,nan,49.89181514916334,76.71908569335938,111.73363494873047,69.9123764038086,72.55496215820312
287139872,TOI-1752 c,32.71443,48,8,0.005896473522369112,0.005603057581331838,1.9757750628632493,3.197899809653441,0.43,,0.9350779231602633,3.9356885272657154,False,9.07921493457788,nan,4.534298614311295,5.634026050567627,12.47616958618164,9.44439697265625,8.544615745544434
360156606,TOI-1227 b,27.36397,11,0,0.0016,0.016261376364897773,1.6485620874773304,2.2216505093769636,0.849,,1.677139761646804,18.537513474429613,False,1.680473372781065,nan,0.6890221248484324,1.9642587900161743,25.800819396972656,7.649061679840088,178.6399688720703
